customer_id,first_name,last_name,gender,age,order_id,payment_order_id,quatity,online_retail_seller_x,payment_amount,product_id,quantity,store_id,product_name,online_retail_seller_y,category
72c00ba8bc7,James,Butt,Female,33.0,d792cb16214,68405119.0,1.0,Amazon,145.0,6657ea517e5,1.0,9ec2a041202,Alisha Solid Women's Cycling Shorts,Amazon,"Sports & Outdoors | Outdoor Recreation | Skates, Skateboards & Scooters | Skateboarding | Standard Skateboards & Longboards | Longboards"
8029b5d9ab5,Cheyenne,Atkinson,Female,39.0,40932f6a97f,69269003.0,1.0,Amazon,172.0,6657ea517e5,1.0,9ec2a041202,Alisha Solid Women's Cycling Shorts,Amazon,"Sports & Outdoors | Outdoor Recreation | Skates, Skateboards & Scooters | Skateboarding | Standard Skateboards & Longboards | Longboards"
b18a428ac77,Josephine,Darakjy,Male,34.0,0d7a144bdd3,68405123.0,1.0,Betsy,251.0,dea641aaa2f,1.0,b383efe2d36,FabHomeDecor Fabric Double Sofa Bed,Betsy,Toys & Games | Learning & Education | Science Kits & Toys
0a3112dc495,Claudia,Barber,Male,47.0,734b287170b,69269366.0,1.0,Betsy,182.0,dea641aaa2f,1.0,b383efe2d36,FabHomeDecor Fabric Double Sofa Bed,Betsy,Toys & Games | Learning & Education | Science Kits & Toys
2fdd0374a03,Art,Venere,Male,60.0,57da4fc703e,68405206.0,1.0,Betsy,214.0,e291975717f,1.0,8acab88f23d,AW Bellies,Betsy,Toys & Games | Arts & Crafts | Craft Kits
04b0b6583f2,Betty,Sutton,Female,29.0,9dc70a1c1f3,69269514.0,1.0,Amazon,194.0,e291975717f,1.0,8acab88f23d,AW Bellies,Betsy,Toys & Games | Arts & Crafts | Craft Kits
dc6358b12c3,Lenna,Paprocki,Female,50.0,1b038114c75,68405465.0,1.0,Amazon,259.0,73e239eb23d,1.0,5275ba1c2b4,Alisha Solid Women's Cycling Shorts,Amazon,Toys & Games | Hobbies | Models & Model Kits | Model Kits | Airplane & Jet Kits
6c77a78c099,Roberta,Cantrell,Male,31.0,09d582d04bb,69269800.0,1.0,Betsy,242.0,73e239eb23d,1.0,5275ba1c2b4,Alisha Solid Women's Cycling Shorts,Amazon,Toys & Games | Hobbies | Models & Model Kits | Model Kits | Airplane & Jet Kits
c12e35b23ad,Donette,Foller,Female,47.0,bb4e55b4fd9,68406064.0,1.0,Amazon,152.0,cff195d0b71,1.0,94004ba5c87,Sicons All Purpose Arnica Dog Shampoo,Amazon,Toys & Games | Puzzles | Jigsaw Puzzles
318d9309d5d,Caitlin,Madden,Female,50.0,3b897006f1d,69270024.0,1.0,Amazon,242.0,cff195d0b71,1.0,94004ba5c87,Sicons All Purpose Arnica Dog Shampoo,Amazon,Toys & Games | Puzzles | Jigsaw Puzzles
2c82e1212b8,Simona,Morasca,Female,49.0,2a0634bc1ea,68408108.0,1.0,Amazon,154.0,bb35283ed13,1.0,5d0960a3c90,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,Amazon,"Sports & Outdoors | Outdoor Recreation | Skates, Skateboards & Scooters | Skateboarding | Standard Skateboards & Longboards | Longboards"
887652426b2,Aimee,Morales,Female,21.0,538be1384d5,69270026.0,1.0,Amazon,258.0,bb35283ed13,1.0,5d0960a3c90,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,Amazon,"Sports & Outdoors | Outdoor Recreation | Skates, Skateboards & Scooters | Skateboarding | Standard Skateboards & Longboards | Longboards"
2c82e1212b8,Simona,Morasca,Female,49.0,b08b904576c,68410055.0,1.0,Amazon,92.0,02e77a21a02,1.0,5641d4edd5e,"dilli bazaaar Bellies, Corporate Casuals, Casuals",Amazon,Home & Kitchen | Home D??cor | Window Treatments | Window Stickers & Films | Window Films
9e0cd65cd57,Lance,Nelson,Female,42.0,dedfe4e4de9,69270618.0,3.0,Amazon,673.0,02e77a21a02,2.0,5641d4edd5e,"dilli bazaaar Bellies, Corporate Casuals, Casuals",Amazon,Home & Kitchen | Home D??cor | Window Treatments | Window Stickers & Films | Window Films
08c76c3f441,Mitsue,Tollner,Male,39.0,cb819fb4a32,68408109.0,1.0,Betsy,239.0,f457d81becb,1.0,795a43b4617,Alisha Solid Women's Cycling Shorts,Betsy,"Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Girls | Costumes"
30c693cde08,Alan,Perkins,Female,47.0,81e8acd2a22,69270404.0,1.0,Amazon,170.0,f457d81becb,1.0,795a43b4617,Alisha Solid Women's Cycling Shorts,Betsy,"Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Girls | Costumes"
ad5aae0d407,Leota,Dilliard,Male,39.0,288c5617fa6,68409030.0,1.0,Betsy,229.0,6368e9ab61e,1.0,92fb58ab8db,FabHomeDecor Fabric Double Sofa Bed,Betsy,Toys & Games | Arts & Crafts | Drawing & Painting Supplies | Crayons
9e0cd65cd57,Lance,Nelson,Female,42.0,dedfe4e4de9,69270618.0,3.0,Amazon,673.0,6368e9ab61e,1.0,92fb58ab8db,FabHomeDecor Fabric Double Sofa Bed,Betsy,Toys & Games | Arts & Crafts | Drawing & Painting Supplies | Crayons
43a302fa75b,Kris,Marrier,Male,34.0,1e1fb923495,68412121.0,1.0,Betsy,176.0,7e463025574,1.0,71b4466ce92,Alisha Solid Women's Cycling Shorts,Betsy,"Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Girls | Costumes"
b99f50ffde9,Isabel,Trujillo,Female,27.0,d32292ee69f,69270659.0,1.0,Amazon,150.0,7e463025574,1.0,71b4466ce92,Alisha Solid Women's Cycling Shorts,Betsy,"Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Girls | Costumes"
d9aea4042bb,Minna,Amigon,Male,53.0,a52dc8a4af1,68412122.0,1.0,Betsy,175.0,4b29c98dcb9,1.0,a1882b7556a,Ladela Bellies,Betsy,Toys & Games | Baby & Toddler Toys
f24daa45874,Lindsey,Stevens,Female,35.0,892c1673951,69270660.0,1.0,Amazon,269.0,4b29c98dcb9,1.0,a1882b7556a,Ladela Bellies,Betsy,Toys & Games | Baby & Toddler Toys
2d772509598,Abel,Maclead,Female,39.0,9470734ebd5,68412123.0,1.0,Amazon,203.0,e020c345514,1.0,eda0d99ea3d,Carrel Printed Women's,Amazon,"Toys & Games | Collectible Toys | Statues, Bobbleheads & Busts | Statues"
1745edf0ded,Kirk,Pennington,Male,51.0,04cd5a8779d,69270884.0,1.0,Betsy,272.0,e020c345514,1.0,eda0d99ea3d,Carrel Printed Women's,Amazon,"Toys & Games | Collectible Toys | Statues, Bobbleheads & Busts | Statues"
0d75d92f0a3,Kiley,Caldarera,Male,53.0,2c340bf65a7,68412131.0,1.0,Betsy,243.0,db16e48fc22,1.0,74361493884,Sicons All Purpose Tea Tree Dog Shampoo,Betsy,Baby Products | Nursery | D??cor | Window Treatments | Valances
5b12712720f,Chad,Gentry,Female,26.0,641263f6ae2,69271045.0,1.0,Amazon,265.0,db16e48fc22,1.0,74361493884,Sicons All Purpose Tea Tree Dog Shampoo,Betsy,Baby Products | Nursery | D??cor | Window Treatments | Valances
